,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,epoch,error_rate,lr,train_df
156,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,157,0.45,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.282863    1.181992         0.5   0.53   NaN
1      1    1.329420    0.737698         0.5   0.35   NaN
2      2    1.305302    0.694097         0.5   0.44   NaN
3      3    1.441121  411.631653         0.5   0.50   NaN
4      4    1.149723    0.856853         0.5   0.51   NaN
5      5    0.956478    0.695286         0.5   0.66   NaN
6      6    0.840945    0.718957         0.5   0.45   NaN"
157,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,158,0.518519,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.196479    1.255401         0.5  0.444444   NaN
1      1    1.457093    0.846700         0.5  0.395062   NaN
2      2    1.329751    3.823948         0.5  0.703704   NaN
3      3    1.154200    3.506279         0.5  0.518519   NaN
4      4    1.081332    0.941239         0.5  0.209877   NaN
5      5    0.935611    0.736027         0.5  0.283951   NaN
6      6    0.835141    0.697178         0.5  0.518519   NaN"
158,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,159,0.308642,7.0,0.666667,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.334824    0.825001    0.611111  0.358025   NaN
1      1    1.258243    1.368530    0.500000  0.308642   NaN
2      2    1.215558    2.847126    0.500000  0.222222   NaN
3      3    1.168662    1.818060    0.500000  0.493827   NaN
4      4    0.989654    1.033646    0.500000  0.469136   NaN
5      5    0.837284    0.714992    0.500000  0.197531   NaN
6      6    0.763142    0.736608    0.666667  0.308642   NaN"
159,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,160,0.691358,7.0,0.333333,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.554340    0.760799    0.500000  0.617284   NaN
1      1    1.298024    6.115826    0.500000  0.691358   NaN
2      2    1.060356   18.380207    0.500000  0.666667   NaN
3      3    1.086034   57.231133    0.500000  0.432099   NaN
4      4    0.996929    0.699943    0.500000  0.469136   NaN
5      5    0.841934    0.762522    0.611111  0.370370   NaN
6      6    0.798705    0.676715    0.333333  0.691358   NaN"
160,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,161,0.42,7.0,0.45,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.219371    2.449326        0.50   0.38   NaN
1      1    1.336370    2.547933        0.50   0.47   NaN
2      2    1.523819    2.811569        0.50   0.39   NaN
3      3    1.239024    0.712299        0.50   0.69   NaN
4      4    1.008755    0.717193        0.50   0.70   NaN
5      5    0.874313    0.902281        0.50   0.53   NaN
6      6    0.782542    0.701297        0.45   0.42   NaN"
161,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,162,0.38,7.0,0.6,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.449313    1.056191         0.5   0.74   NaN
1      1    1.205830    4.552451         0.5   0.70   NaN
2      2    1.369717    1.600922         0.5   0.37   NaN
3      3    1.504070  789.043213         0.5   0.50   NaN
4      4    1.214260    0.743220         0.5   0.36   NaN
5      5    0.964410    0.699162         0.5   0.48   NaN
6      6    0.818439    0.710956         0.6   0.38   NaN"
162,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,163,0.45679,7.0,0.555556,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.223862    1.417994    0.500000  0.703704   NaN
1      1    1.194840    0.976012    0.500000  0.716049   NaN
2      2    1.511780    1.214281    0.500000  0.530864   NaN
3      3    1.300909   66.825226    0.500000  0.500000   NaN
4      4    1.103699    0.692917    0.555556  0.493827   NaN
5      5    0.917593    0.696395    0.500000  0.456790   NaN
6      6    0.806155    0.696992    0.555556  0.456790   NaN"
163,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,164,0.308642,7.0,0.555556,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.546162    1.220497    0.500000  0.432099   NaN
1      1    1.254844    0.826238    0.500000  0.567901   NaN
2      2    1.395074    5.332355    0.666667  0.320988   NaN
3      3    1.260148    0.703016    0.500000  0.567901   NaN
4      4    1.115556    0.797551    0.500000  0.555556   NaN
5      5    0.917165    0.714553    0.500000  0.567901   NaN
6      6    0.794723    0.733221    0.555556  0.308642   NaN"
164,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,165,0.333333,7.0,0.611111,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.051026    0.642129    0.388889  0.839506   NaN
1      1    1.100051   22.942589    0.500000  0.518519   NaN
2      2    1.271566    2.059490    0.500000  0.555556   NaN
3      3    1.385950   37.046844    0.500000  0.623457   NaN
4      4    1.098403    3.346442    0.500000  0.716049   NaN
5      5    0.905533    0.758122    0.500000  0.506173   NaN
6      6    0.789215    0.709773    0.611111  0.333333   NaN"
165,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,166,0.48,7.0,0.5,0.1,"   epoch  train_loss    valid_loss  error_rate  AUROC  time
0      0    1.151061      1.508397         0.5   0.26   NaN
1      1    1.082062     19.029234         0.5   0.88   NaN
2      2    1.370588  43446.710938         0.5   0.50   NaN
3      3    1.349400      1.198888         0.5   0.82   NaN
4      4    1.116954      0.749663         0.5   0.34   NaN
5      5    0.934346      0.737029         0.5   0.64   NaN
6      6    0.812674      0.715750         0.5   0.48   NaN"
166,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,167,0.5,7.0,0.6,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.529616    1.277806         0.5   0.72   NaN
1      1    1.279969    1.202304         0.5   0.44   NaN
2      2    1.512067    6.086252         0.5   0.70   NaN
3      3    1.342085    2.303515         0.5   0.60   NaN
4      4    1.090647    0.704728         0.5   0.49   NaN
5      5    0.910558    1.046848         0.5   0.29   NaN
6      6    0.802569    0.691437         0.6   0.50   NaN"
167,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,168,0.345679,7.0,0.5,0.1,"   epoch  train_loss   valid_loss  error_rate     AUROC  time
0      0    1.302041     1.112195         0.5  0.666667   NaN
1      1    1.188165     2.309294         0.5  0.580247   NaN
2      2    1.347255     3.006777         0.5  0.283951   NaN
3      3    1.516254  1492.080933         0.5  0.500000   NaN
4      4    1.278902     0.694697         0.5  0.333333   NaN
5      5    1.020373     0.721881         0.5  0.543210   NaN
6      6    0.854580     0.707579         0.5  0.345679   NaN"
168,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,169,0.703704,7.0,0.277778,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.322654    0.831309    0.500000  0.629630   NaN
1      1    1.146778    2.363432    0.500000  0.703704   NaN
2      2    1.614864    6.059194    0.500000  0.604938   NaN
3      3    1.210800    1.007645    0.500000  0.543210   NaN
4      4    1.002343    0.760798    0.500000  0.382716   NaN
5      5    0.850764    0.694575    0.500000  0.641975   NaN
6      6    0.766019    0.682236    0.277778  0.703704   NaN"
169,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,170,0.5802470000000001,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.200014    2.616132         0.5  0.555556   NaN
1      1    1.347190    0.701854         0.5  0.481481   NaN
2      2    1.433304    0.857263         0.5  0.395062   NaN
3      3    1.232099    0.777567         0.5  0.555556   NaN
4      4    1.043317    0.898630         0.5  0.370370   NaN
5      5    0.943647    0.736403         0.5  0.469136   NaN
6      6    0.816249    0.692317         0.5  0.580247   NaN"
170,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,171,0.61,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.953877    1.267143         0.5   0.66   NaN
1      1    1.304091    3.078002         0.5   0.26   NaN
2      2    1.652758    0.803949         0.5   0.58   NaN
3      3    1.414401    0.701140         0.5   0.46   NaN
4      4    1.117777    0.702522         0.5   0.60   NaN
5      5    0.919080    0.715879         0.5   0.46   NaN
6      6    0.810761    0.709491         0.5   0.61   NaN"
171,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,172,0.42,7.0,0.6,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.006194    0.988415        0.55   0.51   NaN
1      1    1.447329    0.825666        0.50   0.60   NaN
2      2    1.556195    1.338592        0.50   0.27   NaN
3      3    1.372198    1.914390        0.50   0.41   NaN
4      4    1.123017    1.041878        0.50   0.25   NaN
5      5    0.915771    0.701301        0.40   0.45   NaN
6      6    0.801654    0.717921        0.60   0.42   NaN"
172,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,173,0.666667,7.0,0.44444399999999995,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.037087    3.968699    0.500000  0.555556   NaN
1      1    1.226937    0.822651    0.500000  0.691358   NaN
2      2    1.259636    1.646502    0.500000  0.641975   NaN
3      3    1.211397  326.033295    0.500000  0.500000   NaN
4      4    1.044801    0.700155    0.500000  0.481481   NaN
5      5    0.877083    0.687123    0.388889  0.666667   NaN
6      6    0.780441    0.690910    0.444444  0.666667   NaN"
173,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,174,0.44444399999999995,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.506785    1.360793    0.500000  0.629630   NaN
1      1    1.281304    0.713390    0.500000  0.444444   NaN
2      2    1.290140    0.695669    0.500000  0.407407   NaN
3      3    1.160373    1.842042    0.500000  0.370370   NaN
4      4    0.942200    1.011913    0.500000  0.617284   NaN
5      5    0.822139    0.710241    0.555556  0.271605   NaN
6      6    0.759336    0.710524    0.500000  0.444444   NaN"
174,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,175,0.407407,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.307993    0.856248    0.444444  0.407407   NaN
1      1    1.614433    0.694019    0.500000  0.567901   NaN
2      2    1.429641    0.695597    0.500000  0.382716   NaN
3      3    1.237021    6.371919    0.500000  0.370370   NaN
4      4    1.004615    0.974667    0.500000  0.604938   NaN
5      5    0.883587    0.709786    0.500000  0.370370   NaN
6      6    0.799763    0.699938    0.500000  0.407407   NaN"
