,test_name,model_arch,transforms,normalized,weight_decay,split_num,max_error,min_error,avg_error,train_df,max_AUROC
24,resnet50_0.01_modified_True,resnet50,modified,True,0.01,25,0.625,0.333333,0.42857128571428577,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.059877    0.971480    0.500000  0.444444   NaN
1      1    0.977203    1.120248    0.625000  0.395833   NaN
2      2    1.101531    0.971855    0.458333  0.611111   NaN
3      3    1.087940    0.701903    0.333333  0.659722   NaN
4      4    0.988840    0.660676    0.375000  0.666667   NaN
5      5    0.890327    0.627409    0.333333  0.750000   NaN
6      6    0.785484    0.639749    0.375000  0.729167   NaN",0.75
25,resnet50_0.01_modified_True,resnet50,modified,True,0.01,26,0.583333,0.333333,0.49999985714285716,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.046798    0.893371    0.333333  0.611111   NaN
1      1    1.041584    1.066630    0.541667  0.569444   NaN
2      2    0.960902    0.992155    0.458333  0.548611   NaN
3      3    0.897549    1.032062    0.583333  0.479167   NaN
4      4    0.874022    0.943163    0.583333  0.381944   NaN
5      5    0.886566    0.809073    0.500000  0.520833   NaN
6      6    0.847017    0.879475    0.500000  0.465278   NaN",0.611111
26,resnet50_0.01_modified_True,resnet50,modified,True,0.01,27,0.583333,0.333333,0.5059522857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.101091    1.210599    0.583333  0.256944   NaN
1      1    0.961190    1.487360    0.583333  0.388889   NaN
2      2    1.136652    1.187934    0.500000  0.444444   NaN
3      3    1.143224    1.028908    0.541667  0.416667   NaN
4      4    0.938651    0.880889    0.541667  0.479167   NaN
5      5    0.878319    0.771901    0.458333  0.659722   NaN
6      6    0.873395    0.724173    0.333333  0.701389   NaN",0.701389
27,resnet50_0.01_modified_True,resnet50,modified,True,0.01,28,0.681818,0.5,0.5974027142857142,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.888824    1.153026    0.545455  0.396694   NaN
1      1    0.987690    1.257321    0.590909  0.330579   NaN
2      2    0.948428    1.340352    0.681818  0.421488   NaN
3      3    1.030579    0.930358    0.500000  0.388430   NaN
4      4    0.914008    0.971702    0.636364  0.297521   NaN
5      5    0.876374    1.014406    0.590909  0.322314   NaN
6      6    0.874943    0.897712    0.636364  0.380165   NaN",0.42148800000000003
28,resnet50_0.01_modified_True,resnet50,modified,True,0.01,29,0.625,0.333333,0.4940475714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.893142    1.097190    0.625000  0.298611   NaN
1      1    0.938587    1.086347    0.541667  0.479167   NaN
2      2    0.943544    1.030555    0.458333  0.534722   NaN
3      3    0.988484    0.818480    0.541667  0.500000   NaN
4      4    0.899675    0.661151    0.500000  0.729167   NaN
5      5    0.893531    0.677455    0.458333  0.625000   NaN
6      6    0.909574    0.627144    0.333333  0.673611   NaN",0.729167
29,resnet50_0.01_modified_True,resnet50,modified,True,0.01,30,0.583333,0.375,0.48214285714285715,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.844068    1.084394    0.583333  0.534722   NaN
1      1    1.111414    0.987691    0.541667  0.548611   NaN
2      2    1.044799    0.942604    0.416667  0.493056   NaN
3      3    0.937432    1.185024    0.458333  0.569444   NaN
4      4    0.934436    0.720408    0.458333  0.618056   NaN
5      5    0.905795    0.759350    0.541667  0.500000   NaN
6      6    0.967046    0.692981    0.375000  0.638889   NaN",0.638889
30,resnet50_0.01_modified_True,resnet50,modified,True,0.01,31,0.666667,0.5,0.5595239999999999,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.887014    0.945227    0.500000  0.506944   NaN
1      1    0.960848    1.039764    0.541667  0.423611   NaN
2      2    0.950551    0.946092    0.666667  0.416667   NaN
3      3    0.934070    1.073648    0.583333  0.375000   NaN
4      4    0.939267    0.953039    0.541667  0.388889   NaN
5      5    0.895282    0.902629    0.541667  0.416667   NaN
6      6    0.871163    0.877754    0.541667  0.312500   NaN",0.506944
31,resnet50_0.01_modified_True,resnet50,modified,True,0.01,32,0.681818,0.5,0.5779222857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.070579    1.000288    0.500000  0.504132   NaN
1      1    1.042010    1.152443    0.545455  0.462810   NaN
2      2    0.954768    1.200567    0.681818  0.404959   NaN
3      3    1.049964    0.945268    0.636364  0.338843   NaN
4      4    0.976042    0.860274    0.545455  0.454545   NaN
5      5    0.924181    1.008681    0.636364  0.322314   NaN
6      6    0.903416    1.097051    0.500000  0.380165   NaN",0.504132
32,resnet50_0.01_modified_True,resnet50,modified,True,0.01,33,0.583333,0.458333,0.5059522857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.077224    0.846290    0.500000  0.520833   NaN
1      1    1.042491    1.225274    0.500000  0.527778   NaN
2      2    0.992861    0.899606    0.458333  0.527778   NaN
3      3    0.901140    1.010968    0.541667  0.506944   NaN
4      4    0.934742    0.892578    0.458333  0.472222   NaN
5      5    0.855248    0.930142    0.500000  0.472222   NaN
6      6    0.957948    0.886939    0.583333  0.451389   NaN",0.527778
33,resnet50_0.01_modified_True,resnet50,modified,True,0.01,34,0.583333,0.375,0.4702381428571428,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.024382    0.919674    0.541667  0.472222   NaN
1      1    0.965235    1.058389    0.583333  0.402778   NaN
2      2    0.964724    0.919337    0.416667  0.416667   NaN
3      3    1.061628    0.987940    0.375000  0.472222   NaN
4      4    0.987334    1.010379    0.458333  0.534722   NaN
5      5    0.989085    0.925606    0.500000  0.513889   NaN
6      6    0.986808    0.842719    0.416667  0.520833   NaN",0.534722
34,resnet50_0.01_modified_True,resnet50,modified,True,0.01,35,0.666667,0.25,0.4702382857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.010374    0.934807    0.541667  0.472222   NaN
1      1    0.846702    1.344694    0.666667  0.347222   NaN
2      2    1.014351    0.808189    0.500000  0.548611   NaN
3      3    1.001350    0.633089    0.250000  0.729167   NaN
4      4    0.869284    0.791813    0.541667  0.465278   NaN
5      5    0.919275    0.746896    0.416667  0.583333   NaN
6      6    0.943907    0.734522    0.375000  0.562500   NaN",0.729167
35,resnet50_0.01_modified_True,resnet50,modified,True,0.01,36,0.681818,0.227273,0.47402585714285717,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.981993    0.823245    0.454545  0.487603   NaN
1      1    1.061438    1.004256    0.681818  0.462810   NaN
2      2    0.986943    1.175004    0.681818  0.314050   NaN
3      3    0.953052    0.767689    0.227273  0.652893   NaN
4      4    0.835479    0.883387    0.454545  0.578512   NaN
5      5    0.826589    0.823741    0.409091  0.586777   NaN
6      6    0.894669    0.868195    0.409091  0.537190   NaN",0.6528930000000001
36,resnet50_0.01_modified_True,resnet50,modified,True,0.01,37,0.666667,0.458333,0.5714285714285714,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.276656    0.946511    0.583333  0.520833   NaN
1      1    1.217335    1.191378    0.458333  0.472222   NaN
2      2    1.000607    1.138213    0.541667  0.437500   NaN
3      3    0.992101    0.882908    0.500000  0.451389   NaN
4      4    0.979645    1.075087    0.666667  0.361111   NaN
5      5    0.885352    0.984965    0.666667  0.375000   NaN
6      6    0.896273    0.955309    0.583333  0.430556   NaN",0.520833
37,resnet50_0.01_modified_True,resnet50,modified,True,0.01,38,0.583333,0.416667,0.5178572857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.757194    0.878882    0.416667  0.562500   NaN
1      1    1.085149    1.517807    0.541667  0.388889   NaN
2      2    0.939649    1.016347    0.583333  0.402778   NaN
3      3    0.944282    1.409312    0.500000  0.437500   NaN
4      4    0.887391    1.466564    0.500000  0.430556   NaN
5      5    0.887826    1.417906    0.541667  0.284722   NaN
6      6    0.904314    1.352106    0.541667  0.368056   NaN",0.5625
38,resnet50_0.01_modified_True,resnet50,modified,True,0.01,39,0.666667,0.5,0.5654762857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.996951    1.434305    0.666667  0.173611   NaN
1      1    1.015610    1.314714    0.625000  0.256944   NaN
2      2    0.996104    0.920711    0.583333  0.500000   NaN
3      3    0.924406    0.978642    0.541667  0.465278   NaN
4      4    0.982858    0.813979    0.500000  0.500000   NaN
5      5    0.915691    0.952134    0.541667  0.409722   NaN
6      6    0.881662    0.845072    0.500000  0.513889   NaN",0.513889
39,resnet50_0.01_modified_True,resnet50,modified,True,0.01,40,0.636364,0.409091,0.49350642857142857,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.015805    1.151236    0.636364  0.404959   NaN
1      1    1.164737    1.333099    0.500000  0.471074   NaN
2      2    1.044982    0.907472    0.454545  0.495868   NaN
3      3    0.941749    0.674929    0.409091  0.776860   NaN
4      4    0.929427    0.670906    0.454545  0.619835   NaN
5      5    0.937825    0.616228    0.454545  0.727273   NaN
6      6    0.983342    0.799552    0.545455  0.553719   NaN",0.77686
