,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC_8,AUROC_9,error_rate_8,error_rate_9,train_df
20,resnet18_0.01_modified_False,resnet18,modified,False,0.01,1,0.6875,0.6875,0.375,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.004932    0.566175       0.250  0.8125   NaN
1      1    0.879838    0.496616       0.125  0.7500   NaN
2      2    0.924716    0.608725       0.375  0.9375   NaN
3      3    0.834888    0.788978       0.375  0.7500   NaN
4      4    0.845091    0.698569       0.250  0.8750   NaN
5      5    0.858738    0.740545       0.375  0.8750   NaN
6      6    0.793554    0.662795       0.375  0.8125   NaN
7      7    0.824931    0.689960       0.375  0.6875   NaN
8      8    0.932411    0.659755       0.375  0.6875   NaN"
21,resnet18_0.01_modified_False,resnet18,modified,False,0.01,2,0.625,0.6875,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.917181    0.786287       0.750  0.2500   NaN
1      1    1.020386    0.871949       0.500  0.2500   NaN
2      2    0.966888    0.988384       0.625  0.3750   NaN
3      3    0.940277    0.964237       0.625  0.5625   NaN
4      4    0.884496    1.003947       0.500  0.5000   NaN
5      5    0.900878    1.061260       0.500  0.5000   NaN
6      6    0.856792    0.893956       0.625  0.6875   NaN
7      7    0.864372    0.975799       0.625  0.6250   NaN
8      8    0.795433    1.046546       0.625  0.6875   NaN"
22,resnet18_0.01_modified_False,resnet18,modified,False,0.01,3,0.4375,0.5625,0.5,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.143741    0.722824       0.500  0.5000   NaN
1      1    1.021054    0.839931       0.625  0.3750   NaN
2      2    1.033539    0.867707       0.375  0.5625   NaN
3      3    1.010295    0.742757       0.500  0.5000   NaN
4      4    0.997676    0.735058       0.500  0.6250   NaN
5      5    0.937429    0.705121       0.500  0.5625   NaN
6      6    0.940506    0.783992       0.625  0.3750   NaN
7      7    0.860459    0.745264       0.500  0.4375   NaN
8      8    0.915002    0.731757       0.500  0.5625   NaN"
23,resnet18_0.01_modified_False,resnet18,modified,False,0.01,4,0.5625,0.5,0.625,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.937772    0.671665       0.625  0.6875   NaN
1      1    0.915875    0.780220       0.375  0.5625   NaN
2      2    0.823752    0.583577       0.250  0.6875   NaN
3      3    0.740047    0.899825       0.625  0.4375   NaN
4      4    0.852563    1.134069       0.625  0.4375   NaN
5      5    0.924382    1.104417       0.625  0.4375   NaN
6      6    0.831233    1.134411       0.625  0.6250   NaN
7      7    0.891909    1.047924       0.625  0.5625   NaN
8      8    0.811177    1.042875       0.375  0.5000   NaN"
24,resnet18_0.01_modified_False,resnet18,modified,False,0.01,5,0.416667,0.333333,0.571429,0.571429,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.766780    0.701456    0.428571  0.833333   NaN
1      1    0.918905    0.698616    0.428571  0.500000   NaN
2      2    0.867289    0.953551    0.571429  0.500000   NaN
3      3    0.811382    0.975821    0.571429  0.333333   NaN
4      4    0.887975    1.199821    0.714286  0.166667   NaN
5      5    0.837161    0.923979    0.571429  0.416667   NaN
6      6    0.810871    1.270749    0.571429  0.333333   NaN
7      7    0.795707    1.070773    0.571429  0.416667   NaN
8      8    0.802580    1.047092    0.571429  0.333333   NaN"
25,resnet18_0.01_modified_False,resnet18,modified,False,0.01,1,0.6875,0.8125,0.375,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.959553    0.588456       0.375  1.0000   NaN
1      1    0.833158    0.568533       0.250  0.7500   NaN
2      2    0.928387    0.381727       0.125  1.0000   NaN
3      3    0.974964    0.406400       0.125  0.9375   NaN
4      4    0.913059    0.617078       0.250  0.9375   NaN
5      5    0.910156    0.631476       0.375  0.8750   NaN
6      6    0.894801    0.657272       0.250  0.6875   NaN
7      7    0.953297    0.680480       0.375  0.6875   NaN
8      8    0.928870    0.576885       0.375  0.8125   NaN"
26,resnet18_0.01_modified_False,resnet18,modified,False,0.01,2,0.25,0.25,0.625,0.75,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.936439    0.659488       0.250  0.8125   NaN
1      1    0.927812    0.772876       0.500  0.7500   NaN
2      2    0.929292    1.019836       0.500  0.4375   NaN
3      3    0.994193    1.528105       0.625  0.2500   NaN
4      4    1.007053    1.093260       0.625  0.2500   NaN
5      5    0.934633    1.095504       0.625  0.2500   NaN
6      6    0.888543    1.151433       0.625  0.1875   NaN
7      7    0.837380    1.039362       0.625  0.2500   NaN
8      8    0.851129    1.057581       0.750  0.2500   NaN"
27,resnet18_0.01_modified_False,resnet18,modified,False,0.01,3,0.4375,0.375,0.75,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.863780    0.964040       0.500  0.0625   NaN
1      1    0.748504    0.635422       0.500  0.6875   NaN
2      2    0.756504    0.991762       0.625  0.5625   NaN
3      3    0.760137    1.309140       0.500  0.5625   NaN
4      4    0.875485    1.266041       0.500  0.4375   NaN
5      5    0.901010    1.102828       0.625  0.5000   NaN
6      6    0.865881    1.149905       0.500  0.5000   NaN
7      7    0.890524    1.157669       0.750  0.4375   NaN
8      8    0.869193    1.008168       0.625  0.3750   NaN"
28,resnet18_0.01_modified_False,resnet18,modified,False,0.01,4,0.375,0.4375,0.5,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.855951    0.799771         0.5  0.5000   NaN
1      1    0.801064    1.020270         0.5  0.2500   NaN
2      2    0.877574    1.653590         0.5  0.3125   NaN
3      3    0.858320    1.471404         0.5  0.8125   NaN
4      4    0.824907    0.858788         0.5  0.6250   NaN
5      5    0.760914    1.088984         0.5  0.3750   NaN
6      6    0.852569    1.010053         0.5  0.6250   NaN
7      7    0.874315    1.495439         0.5  0.3750   NaN
8      8    0.850093    1.231467         0.5  0.4375   NaN"
29,resnet18_0.01_modified_False,resnet18,modified,False,0.01,5,0.25,0.25,0.714286,0.714286,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.068344    0.689073    0.571429  0.583333   NaN
1      1    1.014530    0.833235    0.571429  0.583333   NaN
2      2    1.094164    1.104177    0.571429  0.583333   NaN
3      3    1.089215    0.848798    0.428571  0.500000   NaN
4      4    1.021989    0.954994    0.428571  0.416667   NaN
5      5    0.965479    1.188969    0.571429  0.333333   NaN
6      6    0.829188    1.267113    0.571429  0.333333   NaN
7      7    0.832823    1.191396    0.714286  0.250000   NaN
8      8    0.844937    1.105529    0.714286  0.250000   NaN"
