,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC_8,AUROC_9,error_rate_8,error_rate_9
20,resnet18_0.01_none_False,resnet18,none,False,0.01,21,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.042218    0.810837        0.55   0.50   NaN
1      1    0.944086    0.912849        0.55   0.47   NaN
2      2    0.929106    0.870038        0.45   0.55   NaN
3      3    0.794218    0.804255        0.45   0.54   NaN
4      4    0.846332    0.867280        0.40   0.61   NaN
5      5    0.739137    0.687139        0.55   0.62   NaN
6      6    0.729639    0.686038        0.40   0.60   NaN
7      7    0.730899    0.711009        0.40   0.60   NaN
8      8    0.710000    0.694144        0.40   0.62   NaN",0.6,0.62,0.4,0.4
21,resnet18_0.01_none_False,resnet18,none,False,0.01,22,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.007079    0.595456        0.40   0.76   NaN
1      1    0.846233    0.691131        0.35   0.68   NaN
2      2    0.734359    0.833493        0.30   0.60   NaN
3      3    0.732236    0.796368        0.45   0.57   NaN
4      4    0.710358    0.962748        0.70   0.43   NaN
5      5    0.723382    1.054614        0.60   0.47   NaN
6      6    0.726174    0.901277        0.50   0.43   NaN
7      7    0.729101    0.919817        0.55   0.45   NaN
8      8    0.693357    0.942876        0.50   0.46   NaN",0.45,0.46,0.55,0.5
22,resnet18_0.01_none_False,resnet18,none,False,0.01,23,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.878983    0.817264    0.555556  0.456790   NaN
1      1    0.830018    0.884460    0.555556  0.506173   NaN
2      2    0.862803    0.762070    0.444444  0.604938   NaN
3      3    0.860209    0.631269    0.500000  0.703704   NaN
4      4    0.821177    0.917997    0.500000  0.493827   NaN
5      5    0.828172    0.846914    0.444444  0.543210   NaN
6      6    0.756968    0.963321    0.444444  0.456790   NaN
7      7    0.748104    0.902476    0.500000  0.432099   NaN
8      8    0.794748    0.800025    0.388889  0.555556   NaN",0.43209899999999996,0.555556,0.5,0.388889
23,resnet18_0.01_none_False,resnet18,none,False,0.01,24,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.999241    0.887480    0.555556  0.456790   NaN
1      1    0.965881    0.718014    0.444444  0.679012   NaN
2      2    0.879697    0.667275    0.388889  0.703704   NaN
3      3    0.982689    0.973420    0.388889  0.493827   NaN
4      4    0.961673    0.688121    0.444444  0.641975   NaN
5      5    0.800356    0.738189    0.277778  0.654321   NaN
6      6    0.811064    0.710500    0.333333  0.679012   NaN
7      7    0.732759    0.773552    0.444444  0.580247   NaN
8      8    0.743186    0.747222    0.388889  0.604938   NaN",0.5802470000000001,0.604938,0.44444399999999995,0.388889
24,resnet18_0.01_none_False,resnet18,none,False,0.01,25,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.891575    0.674066    0.500000  0.543210   NaN
1      1    0.875448    1.085321    0.611111  0.259259   NaN
2      2    0.876889    1.197099    0.666667  0.320988   NaN
3      3    0.771526    1.405878    0.777778  0.185185   NaN
4      4    0.738815    1.263695    0.833333  0.160494   NaN
5      5    0.786628    1.139266    0.611111  0.395062   NaN
6      6    0.790245    1.279206    0.722222  0.234568   NaN
7      7    0.779087    1.227604    0.722222  0.246914   NaN
8      8    0.773654    1.150025    0.722222  0.259259   NaN",0.246914,0.259259,0.722222,0.722222
25,resnet18_0.01_none_False,resnet18,none,False,0.01,26,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.454983    0.876993        0.40   0.45   NaN
1      1    1.075562    1.338065        0.50   0.35   NaN
2      2    1.079519    1.159234        0.50   0.42   NaN
3      3    1.055071    0.851609        0.55   0.43   NaN
4      4    0.858505    0.739323        0.50   0.60   NaN
5      5    0.779316    0.806822        0.40   0.55   NaN
6      6    0.808428    0.736847        0.45   0.58   NaN
7      7    0.836520    0.738995        0.45   0.62   NaN
8      8    0.743588    0.716181        0.50   0.61   NaN",0.62,0.61,0.45,0.5
26,resnet18_0.01_none_False,resnet18,none,False,0.01,27,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.779294    1.124980        0.65   0.34   NaN
1      1    0.760792    1.291957        0.60   0.38   NaN
2      2    0.814484    1.080034        0.70   0.33   NaN
3      3    0.818608    0.849642        0.50   0.44   NaN
4      4    0.827516    0.795017        0.40   0.55   NaN
5      5    0.833635    0.817053        0.50   0.54   NaN
6      6    0.799018    0.804902        0.55   0.50   NaN
7      7    0.754208    0.870951        0.60   0.39   NaN
8      8    0.728981    0.828685        0.55   0.47   NaN",0.39,0.47,0.6,0.55
27,resnet18_0.01_none_False,resnet18,none,False,0.01,28,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.960380    0.964016    0.611111  0.419753   NaN
1      1    0.792548    0.915196    0.500000  0.518519   NaN
2      2    0.879819    1.020633    0.555556  0.419753   NaN
3      3    0.820919    1.147423    0.500000  0.358025   NaN
4      4    0.855050    0.949707    0.555556  0.543210   NaN
5      5    0.798924    0.844091    0.388889  0.555556   NaN
6      6    0.802688    1.006138    0.666667  0.456790   NaN
7      7    0.709738    0.866792    0.555556  0.530864   NaN
8      8    0.729059    0.964785    0.500000  0.481481   NaN",0.530864,0.48148100000000005,0.555556,0.5
28,resnet18_0.01_none_False,resnet18,none,False,0.01,29,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.924029    0.745618    0.388889  0.567901   NaN
1      1    0.848104    1.128000    0.611111  0.432099   NaN
2      2    0.925516    0.971623    0.444444  0.506173   NaN
3      3    0.880155    0.800139    0.444444  0.629630   NaN
4      4    0.820904    0.628166    0.333333  0.716049   NaN
5      5    0.777403    0.693917    0.388889  0.629630   NaN
6      6    0.710018    0.770122    0.500000  0.555556   NaN
7      7    0.661844    0.766502    0.555556  0.555556   NaN
8      8    0.711050    0.685269    0.444444  0.654321   NaN",0.555556,0.654321,0.555556,0.44444399999999995
29,resnet18_0.01_none_False,resnet18,none,False,0.01,30,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.876734    0.670150    0.388889  0.629630   NaN
1      1    0.935304    0.760316    0.388889  0.567901   NaN
2      2    0.978742    0.665717    0.333333  0.679012   NaN
3      3    0.913276    0.621335    0.333333  0.765432   NaN
4      4    0.840564    0.747134    0.555556  0.567901   NaN
5      5    0.849022    0.836325    0.388889  0.592593   NaN
6      6    0.739688    0.955821    0.444444  0.592593   NaN
7      7    0.729199    0.739265    0.500000  0.580247   NaN
8      8    0.697054    0.767899    0.444444  0.604938   NaN",0.5802470000000001,0.604938,0.5,0.44444399999999995
