,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,error_rate,train_df
24,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,5,0.5432100000000001,0.5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.023271    1.198788    0.444444  0.419753   NaN
1      1    1.056308    2.227141    0.500000  0.543210   NaN
2      2    1.130953    2.694817    0.611111  0.370370   NaN
3      3    1.204322    0.889520    0.222222  0.617284   NaN
4      4    1.220909    1.633103    0.500000  0.691358   NaN
5      5    1.358300    1.214201    0.444444  0.629630   NaN
6      6    1.362026    1.607606    0.500000  0.543210   NaN"
25,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,1,0.4,0.55,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.134754    1.312207        0.45   0.59   NaN
1      1    1.948975    2.093918        0.30   0.59   NaN
2      2    3.269731   23.125328        0.50   0.32   NaN
3      3    3.080229    3.166255        0.50   0.49   NaN
4      4    2.913918    8.437765        0.60   0.40   NaN
5      5    2.857922    9.205359        0.60   0.36   NaN
6      6    2.540134   15.872458        0.55   0.40   NaN"
26,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,2,0.5,0.6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.108882    1.568039        0.50   0.36   NaN
1      1    1.697767    9.718596        0.55   0.40   NaN
2      2    2.913886    1.401322        0.60   0.43   NaN
3      3    3.384298    3.651642        0.55   0.46   NaN
4      4    3.269262    1.967716        0.50   0.53   NaN
5      5    2.889811    2.736137        0.50   0.43   NaN
6      6    2.729840    2.550254        0.60   0.50   NaN"
27,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,3,0.407407,0.44444399999999995,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.377721    1.723335    0.444444  0.592593   NaN
1      1    2.152007    1.226687    0.500000  0.456790   NaN
2      2    2.625537    6.766685    0.500000  0.555556   NaN
3      3    3.501154    5.842071    0.611111  0.370370   NaN
4      4    2.625958    2.930257    0.333333  0.765432   NaN
5      5    2.509937    8.027386    0.722222  0.160494   NaN
6      6    2.298268    3.156236    0.444444  0.407407   NaN"
28,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,4,0.703704,0.44444399999999995,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.928083    2.192528    0.555556  0.432099   NaN
1      1    1.664327   19.341373    0.500000  0.777778   NaN
2      2    2.789015   20.198387    0.500000  0.197531   NaN
3      3    2.799265    2.119321    0.444444  0.654321   NaN
4      4    3.142349    3.683150    0.500000  0.481481   NaN
5      5    2.755261    4.522367    0.500000  0.555556   NaN
6      6    2.412838    8.593996    0.444444  0.703704   NaN"
29,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,5,0.27160500000000004,0.666667,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.484890    2.028754    0.444444  0.444444   NaN
1      1    1.823300   16.268480    0.500000  0.432099   NaN
2      2    2.499697    6.924188    0.500000  0.327160   NaN
3      3    2.545390    1.768423    0.555556  0.358025   NaN
4      4    2.792535    1.622190    0.611111  0.419753   NaN
5      5    2.432861    4.467614    0.611111  0.327160   NaN
6      6    2.654253    2.582478    0.666667  0.271605   NaN"
30,resnet18_0.01_0.1_modified_True,resnet18,modified,true,0.01,1,0.665,0.3,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.788923   12.498654        0.45  0.415   NaN
1      1    4.501596   26.766926        0.50  0.500   NaN
2      2   13.283821   25.321949        0.40  0.700   NaN
3      3   16.232475    6.532806        0.60  0.500   NaN
4      4   14.899616   43.981388        0.55  0.545   NaN
5      5   17.571640  238.530350        0.40  0.600   NaN
6      6   15.405494  470.789368        0.30  0.665   NaN"
31,resnet18_0.01_0.1_modified_True,resnet18,modified,true,0.01,2,0.365,0.65,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.533791   11.243363        0.50  0.210   NaN
1      1    7.112847   20.161560        0.50  0.600   NaN
2      2   14.779401   35.868675        0.60  0.405   NaN
3      3   20.235132   21.675739        0.35  0.755   NaN
4      4   21.495148   23.116945        0.50  0.500   NaN
5      5   17.603350   11.993291        0.60  0.210   NaN
6      6   16.379494    6.422007        0.65  0.365   NaN"
32,resnet18_0.01_0.1_modified_True,resnet18,modified,true,0.01,3,0.45679,0.611111,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.541227    4.211836    0.444444  0.703704   NaN
1      1    5.603894   15.943954    0.500000  0.555556   NaN
2      2   14.706175   40.743565    0.611111  0.320988   NaN
3      3   21.424610    7.580885    0.444444  0.771605   NaN
4      4   20.056023   56.799812    0.500000  0.333333   NaN
5      5   15.924713    9.064862    0.666667  0.475309   NaN
6      6   15.873364    9.315032    0.611111  0.456790   NaN"
33,resnet18_0.01_0.1_modified_True,resnet18,modified,true,0.01,4,0.320988,0.666667,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.654267    7.178809    0.500000  0.641975   NaN
1      1    7.935309   26.374001    0.611111  0.259259   NaN
2      2   12.597256   60.139507    0.500000  0.500000   NaN
3      3   21.716532   16.394073    0.444444  0.469136   NaN
4      4   25.993471  461.271332    0.500000  0.345679   NaN
5      5   22.963142   10.937457    0.555556  0.574074   NaN
6      6   17.837538   10.061149    0.666667  0.320988   NaN"
